,Reviews
2361,Networking problem battery backup low
2362,Good mobile
2363,Outstanding product.
2364,Superb display and performance.Also I got an opportunity to buy with an handsome discount during the big billion days' sale.I have purchased cosmic black device which is looking decent. Jitendrasinh Solanki.
2365,all things are good but battery drainage very fast
2366,Nice phone but the battery issues.
2367,All about good but battery quality is very poor..
2368,Best phone under 30k
2369,good
2370,A good all rounder phone for daily user.
2371,Excellent product
2372,Good phone under 20 thousand ...
2373,This a nice performence in this phone
2374,Good
2375,This phone is amazing performance 🤩 camera is not like on this price range and battery 🔋 is very poor 😓
2376,Thanks to realme company he is provide best smartphones
2377,"Camera quality is really bad in this phone, Battery back-up is not good but charging speed is fantastic, Performance is upto ths mark."
2378,Good phone bt front camera and sound speaker 🔊 is normal
2379,Best deal of flipkart big billion days...
2380,Top class performance but this phone is only struggling in night wherever it's selfie camera or  back camera .But it's a good deal coz of performance .
2381,Awesome phone
2382,"Absolute Value for Money under 25k for 8/256gb variant.If getting at 25k price point, just go for it.Design: 10/10 (Vegan Leather Variant)Display: 10/10Battery: 10/10User Interface: 9/10Camera: 8/10"
2383,Good phone. 65 w charging is highlight. Value for money.
2384,Very gud product
2385,Display is good and camera is poor quality normal photo shoot and overall performance is good
2386,A good phone
2387,1. Camera is quite good. 2. Mobile performance is too good in heavy work use.3. Battery should be 5000 mah 4. Display quality is top class5. Get mobile full charge in 30 minutes.6. Sound quality is good.
2388,Good
2389,Nice phone with fast charging 👍🏻
2390,Camera made me disappointed
2391,Awesome 😎
2392,Camera and battery backup goog
2393,Good display.Nice refresh rate..Battery backup nice but more than 5000mAH that's good comfortable use...This glossy peace..nice
2394,This mobile is ok
2395,Display :-. 5/5Camera:-4.5/5Battery:-4/5Charging:-5/5Comfort:-5/5Performance:-5/5
2396,It's working very slowly it's hanging
2397,Worst battery back up and heating issue.
2398,It's fabulous experience to buy it..Fastest chargeBest cameraSmooth runBest battery backupNo problem at allGo get itBetter than other companies
2399,Nice product camera quality nice battery backup thank you Flipkart
2400,Excellent
2401,Battery goodPerformance goodDisplay okCamera WORST
2402,Camera quality very poor
2403,Awesome
2404,Everything Is Great In This Phone Except Battery Backup......
2405,Mobile was nice
2406,Excellent phone
2407,Excellent
2408,Good product
2409,I got this product 13700 its very good deal but so many problems in this handset1st is dailer is not good goggle dailer inbeltIts not good comparison with realme dailer2nd is connecting problem so many time not received call many time asking not reachable same network other mobile connected easyly and so many problems in this handset but overall value for money
2410,Very good phone
2411,Good product
2412,Review after one month usedCamera is ok not that good 64mp is just numbers clarity is 16mpPerformance is good but when game for 10mins start heating which irritatesBattery is good fast charging is super fast Display quality and clarity is goodOverall good phone but not for gaming bcoz of heating issue
2413,GT Master is Nice One Product 👍Hetting problems start  after 15 day using mobile. .
2414,Nice mobile... And Great Performance.... And Super Display but a little bit less battery backup but fast charging is the best feature in this mobile
2415,good handy phon.
2416,Camera : ok but it could be better in this Price range.Battery: charges very fast with 65% charger but disappoints as it hardly covers full day .Performance: super👍Design: looks very nice and super light. Plastic materials not glass.Display : nice but screen miss gorilla glassOver all good experience
2417,Nice phone fast delivery
2418,"Amazing In Hand Feel and it's Camera are just amazing , performance it's super smooth ."
2419,Bake camera good
2420,Good
2421,All features are good except battery back up
2422,Worth buying phone .You 'll definitely loved it . Everything is fine but one thing is battery back up is below average .
2423,Very good
2424,Super duper...no issues in this .very compact and weight is very low.🔥💥
2425,Nice
2426,Phone call history  last month  details  not disply
2427,Value for money
2428,Incredible phone amazing with power booster
2429,Mobile hasbeen overhiting and hanging during the normal use.
2430,Very nice .... Product
2431,Nice product I bought at 16949 with exchange of Samsung Galaxy J7Max.... Nice phone at this range. Realme flagship phone .. Loved this product from Flipkart with good sealed packaging
2432,Super
2433,Super performance
2434,Phone hanging display is not  good
2435,Go for it It's futurable Phone
2436,Awesome mobile phone
2437,Phone is good and processor speed is best. But price is very. I bought it in Sale. Bad thing is that Memory card slot is not available. Battery is only 4200 MH.
2438,Value of money phone.
2439,Perfect
2440,Value for money
2441,GT mode very powerful gaming and display super amoled and mobile is 5g connect mobile phone I am happy very nice 😘
2442,Very nice phone but battery back is not nice
2443,Very good phone to buy and very good experience of mine using 5 days. A very good product to buy.
2444,Normal usage battery life 6hour only
2445,"Only Camera is best. , rest all are not as expexted with 30 k range phone. Perform is like below 15k phone. Display is ok ok, sound quality is also not very good. Back cover get dirty in one day. Sometimes games get crashed and restarted himself. ."
2446,Good
2447,Super performance but battery drain fast
2448,Image quality does not have expected even my realme X2 camera is low light performance as better than real GT master so overall phone it's quite good but cameras not have satisfy so do it software improvement I hope so but this what is omnivision sensor and match in Samsung or Sony sensor even this price range company with go with Sony or Samsung sensor so camera point of view very disappointed
2449,Over-all this Phone is very good only battery
2450,Worst battery backup
2451,Phone is awesome
2452,My mobile is alway heating And battery draining fast
2453,"Got this phone for 13700 after exchange of my 3 yr old pocof1 , I got 8gb model grey color , everything about the phone is good ,but camera is very worst not at alla the worth of money"
2454,"Very good mobile , very much satisfied. But it has 8 bands only .if it is 12 bands then it will be much more satisfied."
2455,Best mobile but front camer clear worst
2456,Good  phone i
2457,Just loved the performance and the displayGaming is Vera levelBattery alone little issue as battery backup lasts less
2458,Wander phone thanks to flipkart
2459,Speaker in not working properly
2460,Very good and stylish phoneBought it at 13k on exchange
2461,Best mobile to buy in under 20k with good specifications
2462,"Seems we got cheated in seeing fake offer, will get better mobile in this price range, back camera is average, battery is poor backup, twice need to charge in a day"
2463,Very nice
2464,"In 22k ,it is the best....go for it"
2465,Perfect dimensions. Comfortable to hold and operate by one hand. Pros- Very good display. Speaker quality is above average. Battery life is good for moderate use.Cons- Back camera is average. No dual speaker.
2466,Nice phone performance is very good but price may be reduced.
2467,Phone heating during game and charging.
2468,Good one at this price point
2469,Nice 🙂
2470,Ok
2471,Overall a good phone
2472,Good phone in 21k sale price
2473,Worth product
2474,Battery 🔋 life is decent.....&..... Others Features are good.
2475,Good
2476,Really good phone
2477,Realme 5pro is my favourite but gt master edition is very disepoint Battery capacity low and performance is very bad  hanging not worth at this price range my review is after one month gt master edition is failure not satisfied
2478,Nice Phone
2479,Good
2480,Suppob
2481,Awesome Flipkart Thanks
2482,Very good product camera sound smoothness very nice I love it
2483,Worth purchase this mobile really very good in all utilities such as battery backup easy to use camera is most amezing ....
2484,Good
2485,Nice product
2486,Great product purchased at great price. Awesome.
2487,Ok ok 😊
2488,I have use this mobile 7days it outstanding performance and display quality is super
2489,Good
2490,Good produt .. value for money.
2491,Front camera average
2492,Value for money and good experience
2493,"Iam concercrned about battery, it's draining too fast.."
2494,Nice mobile
2495,Just buy it...Great mobile with good camera quality 🔥✨❣️
2496,Nice mobile
2497,Okk
2498,Value for money product
2499,Amazing Phone all features are included best thing is that battery is about 4300 something but the charger was 65 watt its charge the mobile so quickly i can't belive it best product from realme
2500,Not bad
2501,Good choice
2502,Everything in this phone is next level. Camera is phenomenal.Performance- nothing to talk about it it's exceptional.Ui is awesome 😎.Battery is decent but charger is massive.You should check this phone .It's a perfect all rounder.
2503,Everything is good value for money happy with this mobile
2504,Awesome 👌 excellent
2505,"This is the third phone from realme familyFirst purchased realmeC2,seconed realme XTAll the phones using regularly ,and no problumes faced so far,feel good real me GT also"
2506,What a phone amazing flipkart delievery and packing best 👍👍👍👍
2507,Wow 😳
2508,Super
2509,Gud
2510,Nice mobile But Some Feature automatically open like DO not disturb service open automatically it's hardware problem
2511,Value for money
2512,Value for money Phone. performance is on pointBattery backup is awesome and charging Speed is beyond imagination it only takes 32 minutes to get full charge
2513,Everything is good but battery backup is not up to mark
2514,Great phone for the price
2515,Good phone. Got it for 17499 in BBD sale and it's worth every penny at this price point. Pros: 1)Good display but a bit less bright in outdoor conditions2)Decent battery life. Would last a day on normal usage easily. 3) Compact form factor4) Very fast charging.  I didn't record the time but it charges phone around 3-4 percent per minute. 5) Good performance in day to day tasks. Cons: 1) Ram management could be better. 2) Camera is Ok. Sony sensor would have been better. 3)Although ...
2516,This mobile is soo good but bettry department is low
2517,Valuable mobile phone
2518,Everything is good except battery backup
2519,Good in range of 20k
2520,Decent phone at 18k
2521,"Overall average product, camera average, battery Average, display top notch, performance super..."
2522,good phone
2523,This is best value for price...i dont think you will get this type of phone in this 22k range...best part is OS is very clean but yes some blotware is there and camera is also good at this price bracket..if you want to buy this at 22k-23k go for it..
2524,Superb
2525,A good purchase
2526,TILL TODAY EVERYTHING IS WORKING GOOD.
2527,Very nice mobile.charging is impressive and performance is also good
2528,Mobile phone is good but price is bit higher... draining battery issue if use wifi it will come not a day upto 18hours...Good thing is battery charging time is too quick .
2529,Camera quality very poor
2530,No value for money....I'm not happy this phone...
2531,Suberb product ..
2532,Nice phone getting Nord features as a meager price but Nord speaker better ...overall it's a good value for money
2533,Overall good mobileBattery drained fastlyBut 65 watts dart charger is given in the box
2534,"Camera quality and battery backup are average.In-hand feel, performance and Charging is amazingOverall a nice phone."
2535,Good phone if you get it around 20K.PROS- 120 Hz Super Amoled Display- Powerful processor- Decent Camera- Fast chargerCONS- Battery back up (5-6 hours on screen time)- Mono speaker- Plastic frame- Poor macro lens
2536,Battery is not upto the mark  . But i think it can be fixed through software updates.otherwise it is good for 20k
2537,Value for money
2538,Didn't like front camera and battry life .. otherwise it's a very good package
2539,Mobile was super No problemsAll goodBut speaker is not loudAnd smmoth and we'll performance
2540,Good phone and rate
2541,Pathetic Realme UI
2542,Nice 🙂😍
2543,"Flipkart deal was awesome. I really happy to have this mobile.Delivery boy is so polite and managed time for delivery thanks to delivery boy.attaching macro image pic, please have a look of clarity.Thanks to realme and Flipkart."
2544,amazing phone
2545,Nice
2546,Good in all categories but it's display is bad
2547,Good one by realme its very value of money.
2548,"Overall very good and compact phone but the front camera is not up to the mark. At this price point people deserve better front camera. Redmi Note 10 Pro has only 16 MP front but still able to click good photos. Also ultra wide for front camera is missing. Fast charging is really fast. Those who are looking for big battery life, this is absolutely not for you. Gameing experience is lovely no issues. Front camera is good only in Day light."
2549,Good
2550,"Excellent performance, Good camera in one word it's allrounder. Battery could be better by software update."
2551,"I have purchased one plus nord 2 and this together, in comparison, I really liked this above nord 2, smooth experience."
2552,Super
2553,Best phone in this price range
2554,Mobile performance is best but front camera is not good for night
2555,Nice product
2556,"Excellent Smartphone,8 GB RAM ,128 GB ROM, slim model,Good display,Value for money.I purchased by my old Coolpad Cool-1Dual.The charger is 65 Watt.Hence the 4200mAh battery get fully charged in near about 5 minutes.No need of waiting for charging for two or three hours.The OTG is not working.There may be some softwarr problem.Pl resolve OTG problem."
2557,Nice product value for money
2558,"Superb phone,nice camera..only one problem.very fast charging n vfast draining 😭"
2559,Very good
2560,Overall Allrounder phone Excellent Performance and Camera as well and superfast charging only 33 min only have 02 Cons battery backup and MonoSpeaker.
2561,Not Bad
2562,Super
2563,Good phone
2564,Good phone
2565,Very nice product
2566,Dual app not working
2567,Great purchase...But go for GT neo
2568,"Impressive Response !! But If you are Normal user, not a heavy gamer than I would suggest to go for Real me 7 pro for cheap option. Otherwise I love this phone very much. Very Impressive and fast touch. Packing was also good . ❤️"
2569,Product ia good but its actual cost not deserve accordingly to phone buikd quality
2570,Very Bad camera32 megapixel=08 megapixelFlipkart and realme are cheater and make money.No refund.
2571,Too much Hearing issues while playing games
2572,This is the best you can get at this price range overall
2573,Super se upar
2574,I will not call this phone very good but I will definitely say that this phone is good in this price range.
2575,Very good mobile
2576,It could be better if you give 5000mah
2577,Phone heats when we do a multi tasking......Like using phone (not for games but for others) while keeping hotspot on....Good processor and working nicely but charging backup is not up to mark as compared to charging with 20W charger.May be battery gets drained early because of Fast charging.The best thing is Battery will be charged to 50% in 15 minutes.....
2578,Nice mobile superb working
2579,Everything is okExcept battery performanceGood performanceGood camera( both rear and selfie)Best display
2580,Everything is fabulous but battery backup is below average.
2581,Not bad.weakness is battery .
2582,Very bad battery only4 hr backup
2583,Good light weight
2584,Good but price high
2585,Apart from camera everything else looks good. Good performance good battery life . Very fast charging. No lag whatsoever. But camera quality is low.
2586,Phone is awesome but need some improvement like in camera front camera is not good but ok ok back camera is good battery is ok but the main highlight its Snapdragon 778g i like it's performance is very hard i used this phone as a month and no any lag jittre nice phone in this price range....!
2587,"Considering price point an Hipe towards this phone. Doesn't match the premium outlook what was I looking for. However Performs exceptionally well. Good battery. Silky butter UI. Issue with proxi censors, network issues now & then. PICTURES below par."
2588,I am very happy with the product 💖💖
2589,One of the best mobile in realme companyIlove realme mobile phones
2590,Everything is good but these expensive
2591,It's more than 200grms weight.
2592,Nice product
2593,Good product.
2594,Very Nice phone value for money.....only sound quality medium...
2595,"Seriously took 15 minutes to charge from 9% to 100%. Solid build, stylish, compact and super fast.Night camera is so good like google pixel."
2596,Superb mobile
2597,Very good quality I am so happy
2598,Blur and pic super I love this phone 🥰😍😍🤩
2599,Good
2600,"Performance-wise it's good, But the camera is the worst at this price point even a 10k phone would take better pictures ."
2601,"Best option on big billion discount, finger print sensor not working properly, realme OS not good."
2602,Ncy
2603,Overall its good às per price coñsideration..
2604,average phone
2605,Awesome phone amazing photos
2606,"Phone is really superb. I like this phone very much with display, performance, Camera.I don't like speaker quality as its single mono speaker. Could have provided dolby atmos dual speakers at this price rangeI dont like battery capacity as it drains soon.Phone gets heated up on normal usage which I dont like.Rest everything I like about this phone. I bought this phone for Rs21.749  with 8GB, 256GB variant."
2607,Best
2608,Just osm ph
2609,Best mobile
2610,"Nice mobile in this price range.Special features- Selfi quality superb, mobile processing speed superb, Internal memory capacity extravagant, Superfast charging, Slim design,  At a time 2 app simultaneously working and many more.Overall Budget phone.."
2611,Great phone. Lightweight
2612,Good
2613,Good performance 🤗
2614,Price not worth
2615,Excellent look of this productPerformance is also good Battery run up to 2 days
2616,Good
2617,Good build quality
2618,Super mobile
2619,1} Good display2} battery avarge3} performance very good4} slim and silk designOral good mobile value for money
2620,Lovely it's beast cellphoneLoved it
2621,Superb
2622,Best camera phone 🔥
2623,Great 👍👍
2624,Excellent
2625,Best phone ever
2626,Nice
2627,Nice products
2628,Nice mobile
2629,Everything is perfect expect the battery. It still feels like a 3000 Mah
2630,Great value phone
2631,Best performance...
2632,Good Sarvie
2633,Not a good
2634,Fast charging Asm displaySmooth experienceCompact sizeMast wali designAnd many more
2635,Good
2636,Charger is good . Charging speed is good but battery life don't suit this mobile. All good in this mobile but only problem is bettery backup. Have to charge 3/4 times a day. So not recommended for those who are on travel. Camera is also good
2637,I loved it.. got a pretty nice discount so I am happy..
2638,"Product is great in this price, display is very good, performance is super, this review I am giving after using 3 days. battery performance could have been better. It can be fixed with some software update, But overall phone is fantastic. Highly recommended."
2639,Pros -Processor Call QualityScreenIn Display Fingerprint sensorSelfi CameraFast Charging
2640,Waste mobile battery problem
2641,Call connectivity very poor....other things good
2642,Nice
2643,Awesome 😎😎🤗🤗💕
2644,Awesome phone .120hz gliding on.
2645,best at this prize with 5g
2646,Overall good
2647,Awesome phone😍🥰
2648,Very very bad camera and very very bad batteries this mobile
2649,"Very good phone at a great price,bought during flipkart big billion sale."
2650,Switch from redmi 4A. Everything is Excellent . Specially Camera and speed is excellent . No regret of buying it.
2651,Best mobile
2652,"I brought this phone in Big Billion days, got good Discount. Phone is really good for its worth, it charges completely in 35 mins and battery backup is also good for Normal usage, Display is superb, smooth operation touch is so good. One thing I observed is mobile data works faster than my previous 4g mobile. Camera is good. Totally worth for money."
2653,After two months I'm giving that rewiew1 ) Battery is very pathetic need to charge two times in day. That is big issue with that phone.2) Getting gang sometime.
2654,Excellent Good cameraSuper processor Smooth display
2655,Osm thanks flipkart
2656,Good
2657,"Product is very good, Better than One Plus phone I think. The only feature that I found missing is Realme Dialer which  i was using before in my realme x2 phoneCamera  - 8/10Sound 7/10Speed Refresh Rate -  9/10Value for Money 9/10"
2658,Reviewing After 2 Days..Pros:The task processing speed of this device is great..Display is superb.Charging speed of this mobile is unbelievable.. so fast..Cons:Speaker is not satisfying.. noisy.. sound is not sweet.. Battery draining is little fast.. Will edit this review after a week and month if I get some likes or appreciation.. thanks
2659,"Very nice camera,back camera needs some upgrades which can be easily solved by the software updates the battery doesn't last much longer but still can be easily charged by the 65Watt superdart charger which is one of the best feature of this smartphone...realme ui 2 is superb and smooth...Overall a great value for money deal....Impressed by flipkart delivery and customer support...I got the delivery the next day I ordered which is very fast..very very appreciated..(Review after 2 day usage)"
2660,As name depicted its a master indeedIf i list out some of the prosFantastic display Excellent touch responseAesthetics of phone is too goodCharging is blazing fast ConsCamera could've improvedBattery life is not greatSince it has single speaker that too not so loudDats it for now.
2661,To be very honest..the display is very awesome and that 120 hz wow..u will surely feel it... charging is mind-blowing...camera is average..and I got it for 24999 (256 gb variant). it's awesome
2662,😍Really thanks Flipkart 😘Really I love this product 😍
2663,Using realme GT master edition is great experience.....it is very smooth...and worth of price
2664,Great product
2665,Good value for money
2666,Great deal...good phone ..got this phone in bbd sale.Charging is super fast.Looks are ossam.Display is super smoothWith normal usage battery can run for a day but it drains fast ...thanks to superfast charger..Rest all is good in the phone.
2667,I think this is best phone
2668,Very good phone at very great price. Overall balanced phone. Value for money.
2669,Honestly it is a killer phone in this price range
2670,To increased display size and batery it is very bad sound system
2671,Nice
2672,Great
2673,Nice
2674,"A very good all rounder device. I am really loving it. Really a steal deal in the sale. Pros:1) Very good performance. Experienced no lags and gaming has been superb too.2) A very good display. Lovely to watch shows and movies.3) Very fast charging. Its super fast and helps a lot.4) Battery life though not great is good enough  specially considering the charging speeds.5) Camera is capable enough but not very good. Though by using Google Camera app, it takes stunning photos so not a pr..."
2675,"Very good and no.1 ,good packing very super fast delivery thank you flipkart and team."
2676,Battery is draining very fast in this mobile It hardly last 5 hours even without gamming imagine what will happen if one start gaming in this mobile Not Recommended At All
2677,I got this phone for 21 k nd I m happy.. cz quick charger takes much less time to charge.. and performance very good . I dnt know about others but I m satisfied. And gt mode for game is🔥
2678,"Battery backup poor very bed experience realme. oppo is better, I use last 4 years oppo f11"
2679,Great phone
2680,Mobile is stucking .I dont know the reason y its getting like this..Dnt go for real me branding.Waste of money
2681,"I really liked the user interface provided by realme ui. It is really pleasure to have realme phones in hand. Such a great balance in weight and experience. Realme gt me is absolute in performance and I bought it at 20k during big billion days. I just loved this phone. Camera quality should improve still. Performance no question it's a better phone with good number of 5g bands. Charge speed is absolutely well , in 27 mins 0 to 100%. Battery backup is the only concern in this phone . Consumes ..."
2682,Nice mobile
2683,Everything is up to the mark but camer would have been bit more clearity
2684,Worst camera ever
2685,Excellent product Thank you FLIPKART
2686,In hand feel the primium phone
2687,Battery draining very fast .....
2688,Ok
2689,"Bought this for my parents during Diwali sale and it's a rely great phone for normal usage ....but might disappoint an enthusiast....here are some key insightsProsBrilliant screen Great form factor( compact size), best for one hand useExtremely responsive screen and great performanceHighly customisable UIConsSome unnecessary pre-installed appsSettings can be overwhelmingly complex for some usersBattery is not efficient upon multimedia use and game playGameplay is not smooth as Snapd..."
2690,HEATING PROPLEM PRESENT IN THE MOBILE
2691,Product 💯
2692,Performance is better
2693,Not recommendable.. 8 gb ram and system use 5-6 gb itself .. previously i have mobile with 6 gb ram system uses 3 gb and 3gb always free... Its means gt is equal to my previous one.
2694,battery Is very bad
2695,Nice product
2696,Don't Buy worst phone Camera Battery very cheap quality.
2697,Good
2698,Good
2699,Best ever phone currently Unique look and design.superb performance and most importantly super fast charging.Best phone in this range
2700,Good Flagship Phone under this range.
2701,"My mobile is heating without any activity ,  camera quality is not good and at the time of treble shoot it more heating  and when I requests to contact Flipkart care , the were not support every time they were hold call and than disconnect call, Camera quality is not like 64 mp"
2702,Great deal you can buy this product.
2703,Good smartphone at this price range
2704,Nice phone and valu of money
2705,"It is a good phone, good camera and high performance, wide angle is not good."
2706,Worth the money..😊
2707,Good looking phone. Nice performance..
2708,Nice mobile
2709,Camera is okey and battery is okey  because it have only 4300mah battery and display and proformance is good .
2710,Everything decent of this phone performance killer camera killer charging speed faster bt the main prblm realted to this phone is battery backup it almost given 6hrs or 7 hrs of batter backup which can be improved.. overall good smartphone.
2711,Nice product
2712,Great Product! Totally Worth it.
2713,Good phone for gaming experience
2714,Best gaming phone
2715,Good
2716,"I didn't use more, but observe it's battery time is not good"
2717,Excellent
2718,Good
2719,"Value for money smartphone. Great deal during big billion day and this photo completely justified for that price range of 18 to 19k. Performance is top notch and super display quality. Camera, I cannot say it is awesome but it is decent."
2720,its been four months and display is defective... its a very bad experience.
2721,Jest ok
2722,"It's been a week I am using this device, starting two days were normal from third day I am facing issue in screen lagging very frustrating and even I setup to screen refresh rate to standard but couldn't see any difference. Had one update in software A.07, I guess after update it went to screen lagging problem. I am waiting for the update to fix this kind of problem. Overall this is worthy device. And in camera department I found noisy images even in bright situation (inside of room/outdoors)..."
2723,Good
2724,Overall good bt battery backup is not good just 20hrs
2725,Best cellphone with this price
2726,good
2727,Good quality product.
2728,"Good Performer, Good Display, Very Handy, Decent Camera & Decent Battery With Super Quick Charge Speed. Overall value for money but under 19K. Don't think so much just grab it."
2729,Very bad
2730,Super good ilove it
2731,Nice phone
2732,Osm product...thnq flipkart 😘😘😘
2733,Nice product
2734,Performance is good weight less and slim overall good mobile
2735,Excellent
2736,Awesome
2737,Good product
2738,Nice
2739,Good mobile
2740,Excellent phone..just loved it
2741,Bad battery backup
2742,Great phone with good processing capabilities. Gaming is absolutely smooth and Camera quality is also good.
2743,Best price guaranteed . Exchange experience  very poor..
2744,Very nice mobile. Good camera
2745,Smooth display and light weight.I liked this phone
2746,Amazing at this price...really worthy
2747,Good
2748,60 Fps For Bgmi/ Pubg 100%Best performance
2749,"This phone is pretty good. If you pay 21k for this. The display is awesome, and the battery life is awesome too. But i cannot say the same about the camera its just ok. And yes i forgot, the performance is pretty good as well! And the ui is very close to stock with no adds and stuff. So if you get this within 21k just go for it! But its not worth it if you have to pay 27k or something."
2750,Got it a week ago. Feels light and premium. Camera is really good
2751,In this price range this phone doesn't match the expectations
2752,Good
2753,Android auto not working.
2754,"You have to juice up up battery at every evening, if u r even a normal user.Other wise if u get it under 20k it is best phone u can buy under 20k"
2755,Super mobile.I love it
2756,Good product for usage and valuable for money
2757,Good
2758,There is lots of problems in handset battery r getting dry so fast and phone is getting auto restart every once in a hour am not happy with this phone my money is waist for buying this phone
2759,Camera performance is below average specially selfie cam
2760,Don't buy any other because one phone is bad for them and if you complain then there is no reply
2761,Overall Good phone but some issue brightness auto mode  its not properly work I hope realme fix in update
2762,Fantastic phone. Display and performance is brilliant.
2763,Vvv. Nice
2764,I'm Grateful To Own This Device.... No Issue Till Now
2765,Good mobile in this price range but battery drain quickly so for battery performance is not good
2766,Heating issue in normal usage
2767,Awesome device.Good performance Fast changing is performed good .Can be full charged with in 30-35 minutesBattery backup is comparatively less
2768,Phone is nice But the price is little bit high.Other than that it is very good and no heating problem.It only heats while charging which is usual in all phones and cools down immediately.
2769,Excellent product worthy
2770,Very nice product 👍🙂Very good really fast chargingAnd very good in this price
2771,After 15 days mobile was automatically switch off.
2772,Camera is not good.
2773,Overall performance is good and worth buying it.
2774,"Audio quality is low, and worst camera... Realme x2 camera and sound is better than this."
2775,Very nice phone on price just little think may be possible processor 778 is little more  so is be good after then I love camera
2776,Nice mobile 📱 1 number
2777,Lovely mobile with charming performance no doubt close ur eyes n go for it🤗🤗
2778,Phone battery is poor
2779,Not bad
2780,Good phone in this price range but display is little bit small
2781,Best in this segment
2782,Everything is good but camera for this price segment must be of higher quality...and battery life is good could be much better but manageable bcs of 65w dart charger really quick charging
2783,Very bad phone .... performance is not oky
2784,"Excellent phone with superb picture quality, display, sound. Battery charging is very fast."
2785,Good mobile 📱
2786,Havvy pubg free fire HDR smooth game play 🤗🤗❤️I love realme GT camera quality most 🧡💛💚💙💙💜🤎🖤🤍♥️💘💝💖💖💗💓💞
2787,All performance are good but battery is very big issue for this price
2788,Good Phone 🙂
2789,Just one word amazing
2790,Awesome 🎉💞
2791,Nyc phone
2792,Front camera better than rear cameraVery quick charged and very very quick battery drain.Front camera also awesome after two week review
2793,Awesome product
2794,Super
2795,1 issue for mobile - invalid input show every 1 minit how solution
2796,Battery is above average
2797,1 star because of very bad camera quality at this price range.Samsung galaxy f62 far better than realme gt master..Realme disappointed me..
2798,Oveall gud product
2799,Amazing
2800,Great Device !! Value for money!!
2801,"superb purchase at this segment range Nice phone , Best experience over all"
2802,Call yourself lucky if you get this under 20K or wait for offer.  In hand experience is really appreciated.
2803,Worth for money
2804,Look osm
2805,Amazing
2806,Just ok
2807,Not up to the mark in this range. Reviewed after 20 days.  the worst things are.1) weak signal2) sound quality during call
2808,"Voice breakup at time of talking, poor performance"
2809,"After 20days review.Pros:Display: Better quality,good vision.keko....kekaBack case superb.Camera super.macro, night mode, videos awesome.In-hand feel awesomeQuick charging awesome.Sound also good.PUBG:Superb Phone.Corns:Battery backup:Min 2times charging per dayIn UI small changes need.Conclusion: Highly Recomend"
2810,Phone is great except in camera department... everything feels smooth and nice.. display is good .
2811,It will s good for normal user as well as hardcore user
2812,Good
2813,Nice product
2814,"Good quality phone, nice"
2815,"Screen quality is very good indoor,while outside is not that good enough, camera are good, haptics are ok,phone is slim and lightweight, not much heating issues, blootwares are given heavily loaded🥴"
2816,I ordered this smartphone for my relatives and used for a while. It looks really good and have a strong inbuilt performance system.
2817,Worst phone ever battery heating up vigorously and draining too fast performance vice no lag it's ok
2818,Back camera not value for money 💰
2819,"Realme GT Master Edition 8, 128 is very good as per camera, performance and display."
2820,What a fantastic Damdaar energetic 😎😎😎😎
2821,I love the looks but I think battery health is not going on I though .. but overall I love the phone light weight and screen touch sensor smooth and fast like iPhone touch...
2822,No expectations as flagship level mobile
2823,First call or sometimes call not display only phone rings
2824,"A+ Display good camera quality, fast charging and only drawback is battery drains quickly."
2825,Value for money
2826,Some noise in background if call duration is about 1 hour
2827,Best performance but battery quality is moderate
2828,"Camera needs improvement. Hoping that updates will fix it to some extent. Otherwise, camera us poor."
2829,I have bought it for 14k with exchange Pros Good samsung displayHave headphone jackCompact and lightweightUI is pretty good didn't expect muchSmooth display + 2.5DNo green tint like XiaomiSuperfast charging and it stops after 100%Definitely value for moneyConsNo stereo speakersCamera lens is ok not that greatNo external storageBattery backup is ok around 7hrs sotThere are some issues like in night mode lock screen is too much brighter
2830,Good
2831,Awesome phone as of now realme worked on their product
2832,Display of the phone is excellent..Performance is very nice.Fast charging is really fast..
2833,Superb
2834,Bad phone.
2835,Superb
2836,Very good product
2837,"It's okay, I am writing my opinion after use of 30 days...!- Processor SD 778g is OK - 5/5- Display quality is very good - 5/5- Camera is average as compared to price range - 5/5- Sound effects is average - 4/5- Battery backup is okay for average users one full day, but not for gamers 5/5- Charger 65w is very good it takes 30 min to become full 5/5"
2838,Not better then x7 series..Go to X7 or X7 pro
2839,Slim and light weight
2840,Light weight.easy to use
2841,All things is Best In Phone screen Like Butter to Use but i disappointed with bettry pickup its not good but charging speed is too fast 7 min = 30%
2842,Superb phone only one thing that i have exchanged my old phone they demand me extra money for no kind of reason Otherwise Realme Gt is great phone . Superfast charging and awesome speed.
2843,After using for 2 weeks mobile screen goes green and touch not working don't buy it😡
2844,Battery wprst
2845,Super awesome
2846,"Great phone for the price, back camera is sub-par but rest everything else is 10/10 about this phone great value for money. Everything just flys over this.. general day to day tasks are buttery smooth. Multitasking is awesome. Vibration feedback is bad... Speaker also seemed pretty decent to me... I don't think anyone would be disappointed for the price it's sold for. Just complete value for money."
2847,Nice
2848,Very good phone in this price range
2849,"I using this phone,  after 15days this phone is lag very badly I don't like this type of phone, please don't buy this phone"
2850,"Over all phone ok ok but battery very bad canera not expect,"
2851,I really liked mobile ..but battery is draining some what faster than normal mobiles and mobile is getting heat ..otherwise its very good mobile ..
2852,Master in all segments
